Experience,Reward
1,-17.000000000000004
2,2.700000000000003
3,-12.0
4,2.5000000000000036
5,2.900000000000002
6,-17.000000000000004
7,2.8000000000000025
8,-17.0
9,-17.000000000000004
10,-19.4
11,-17.000000000000004
12,-17.000000000000007
13,-4.600000000000001
14,-19.200000000000003
15,8.200000000000001
16,-17.000000000000004
17,-17.000000000000004
18,-14.700000000000001
19,-17.000000000000007
20,-3.5
21,-17.000000000000007
22,-3.4000000000000004
23,-15.0
24,8.8
25,-0.6000000000000005
26,8.8
27,8.9
28,-17.000000000000007
29,-11.2
30,-17.000000000000004
31,-18.000000000000004
32,4.0000000000000036
33,0.40000000000000213
34,-3.3000000000000007
35,2.900000000000002
36,-17.000000000000004
37,7.800000000000001
38,5.499999999999999
39,-16.0
40,-4.1999999999999975
41,-16.0
42,-17.000000000000007
43,-17.000000000000004
44,-17.000000000000004
45,-1.6000000000000019
46,8.6
47,-16.0
48,-2.1999999999999993
49,-16.0
50,-11.299999999999999
