Experience,Reward
1,0.0
2,3.200000000000003
3,-0.6999999999999975
4,6.1
5,2.8
6,2.700000000000003
7,-4.8000000000000025
8,-0.4999999999999982
9,2.0000000000000036
10,0.7000000000000028
11,4.500000000000002
12,-18.000000000000004
13,9.9
14,-4.399999999999999
15,-15.0
16,5.3999999999999995
17,1.2000000000000046
18,6.4
19,-1.1999999999999975
20,-2.299999999999999
21,2.1000000000000014
22,1.700000000000001
23,1.3000000000000007
24,8.4
25,-0.09999999999999964
26,-11.2
27,-13.2
28,-0.4999999999999982
29,-11.4
30,0.6000000000000032
31,-0.29999999999999716
32,7.699999999999999
33,2.3000000000000043
34,-17.000000000000007
35,0.6000000000000032
36,0.20000000000000462
37,-0.5999999999999979
38,6.0
39,-13.0
40,1.6000000000000032
41,-2.399999999999995
42,3.7000000000000046
43,0.5000000000000018
44,7.3
45,3.8000000000000007
46,5.0
47,7.7
48,-1.6999999999999975
49,-2.9999999999999964
50,8.8
